,activeWord,lastChar,acc
0,ninth ,n,0.0
1,ninth ,i,0.0
2,ninth ,n,0.0
3,ninth ,t,0.0
4,ninth ,h,0.0
5,ninth , ,0.0
6,droop ,c,0.16666666666666674
7,droop ,d,0.16666666666666674
8,droop ,r,0.16666666666666674
9,droop ,o,0.16666666666666674
10,droop ,o,0.16666666666666674
11,droop ,p,0.16666666666666674
12,droop , ,0.16666666666666674
13,agile ,a,0.0
14,agile ,g,0.0
15,agile ,i,0.0
16,agile ,l,0.0
17,agile ,e,0.0
18,agile , ,0.0
19,rocky ,r,0.0
20,rocky ,o,0.0
21,rocky ,c,0.0
22,rocky ,k,0.0
23,rocky ,y,0.0
24,rocky , ,0.0
25,boxer ,b,0.0
26,boxer ,o,0.0
27,boxer ,x,0.0
28,boxer ,e,0.0
29,boxer ,r,0.0
30,boxer , ,0.0
31,shift ,s,0.0
32,shift ,h,0.0
33,shift ,i,0.0
34,shift ,f,0.0
35,shift ,t,0.0
36,shift , ,0.0
37,comfy ,c,0.0
38,comfy ,o,0.0
39,comfy ,m,0.0
40,comfy ,f,0.0
41,comfy ,y,0.0
42,comfy , ,0.0
43,drool ,d,0.0
44,drool ,r,0.0
45,drool ,o,0.0
46,drool ,o,0.0
47,drool ,l,0.0
48,drool , ,0.0
49,space ,s,0.0
50,space ,p,0.0
51,space ,a,0.0
52,space ,c,0.0
53,space ,e,0.0
54,space , ,0.0
55,jumbo,j,0.0
56,jumbo,u,0.0
57,jumbo,m,0.0
58,jumbo,b,0.0
59,jumbo,o,0.0
60,rearm ,r,0.0
61,rearm ,e,0.0
62,rearm ,a,0.0
63,rearm ,r,0.0
64,rearm ,m,0.0
65,rearm , ,0.0
66,smash ,s,0.0
67,smash ,m,0.0
68,smash ,a,0.0
69,smash ,s,0.0
70,smash ,h,0.0
71,smash , ,0.0
72,horde ,h,0.0
73,horde ,o,0.0
74,horde ,r,0.0
75,horde ,d,0.0
76,horde ,e,0.0
77,horde , ,0.0
78,groom ,g,0.0
79,groom ,r,0.0
80,groom ,o,0.0
81,groom ,o,0.0
82,groom ,m,0.0
83,groom , ,0.0
84,swath ,s,0.0
85,swath ,w,0.0
86,swath ,a,0.0
87,swath ,t,0.0
88,swath ,h,0.0
89,swath , ,0.0
90,junto ,j,0.0
91,junto ,u,0.0
92,junto ,n,0.0
93,junto ,t,0.0
94,junto ,o,0.0
95,junto , ,0.0
96,young ,y,0.0
97,young ,o,0.0
98,young ,u,0.0
99,young ,n,0.0
100,young ,g,0.0
101,young , ,0.0
102,space ,s,0.0
103,space ,p,0.0
104,space ,a,0.0
105,space ,c,0.0
106,space ,e,0.0
107,space , ,0.0
108,wider ,w,0.0
109,wider ,i,0.0
110,wider ,d,0.0
111,wider ,e,0.0
112,wider ,r,0.0
113,wider , ,0.0
114,wager,w,0.0
115,wager,a,0.0
116,wager,g,0.0
117,wager,e,0.0
118,wager,r,0.0
119,maple ,m,0.0
120,maple ,a,0.0
121,maple ,p,0.0
122,maple ,l,0.0
123,maple ,e,0.0
124,maple , ,0.0
125,locus ,l,0.0
126,locus ,o,0.0
127,locus ,c,0.0
128,locus ,u,0.0
129,locus ,s,0.0
130,locus , ,0.0
131,dryer ,d,0.33333333333333326
132,dryer ,p,0.33333333333333326
133,dryer ,y,0.33333333333333326
134,dryer ,r,0.33333333333333326
135,dryer ,y,0.33333333333333326
136,dryer ,e,0.33333333333333326
137,dryer ,r,0.33333333333333326
138,dryer , ,0.33333333333333326
139,shove ,s,0.16666666666666674
