timestamp,activeWord,lastChar,correctChar,source,layout,type,length,language,funbox
2022-12-04T09:44:12.191Z,get,g,g,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:12.368Z,get,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:12.986Z,down,t,t,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:13.154Z,down, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:14.400Z,down,d,d,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:15.101Z,down,o,o,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:16.295Z,down,w,w,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:16.450Z,down,n,n,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:16.743Z,develop, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:17.436Z,develop,d,d,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:17.871Z,develop,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:19.264Z,develop,v,v,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:19.480Z,develop,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:21.472Z,develop,l,l,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:22.592Z,develop,o,o,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:24.241Z,develop,p,p,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:24.568Z,end, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:25.016Z,end,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:25.112Z,end,n,n,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:25.826Z,end,d,d,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:25.952Z,hand, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:26.815Z,hand,h,h,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:27.074Z,hand,a,a,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:28.441Z,hand,n,n,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:29.146Z,hand,d,d,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:29.319Z,place, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:30.984Z,place,p,p,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:31.372Z,place,l,l,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:31.583Z,place,a,a,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:31.759Z,place,c,c,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:32.425Z,place,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:32.602Z,at, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:32.816Z,at,a,a,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:33.520Z,against,t,t,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:33.618Z,against, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:33.856Z,against,a,a,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:34.185Z,against,g,g,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:34.265Z,against,a,a,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:35.170Z,against,i,i,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:35.695Z,against,n,n,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:36.512Z,against,s,s,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:36.632Z,against,t,t,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:37.003Z,after, , ,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:37.376Z,after,a,a,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:38.801Z,after,f,f,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:39.542Z,after,t,t,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:39.640Z,after,e,e,monkeytype,semicolemak,words,10,english,null
2022-12-04T09:44:40.373Z,after,r,r,monkeytype,semicolemak,words,10,english,null
