timestamp,activeWord,lastChar,correctChar,layout,testNum,type,length,language,funbox,cpm
2022-12-12 07:45:16.438,ninth ,n,n,semicolemakdh,1,words,10,wordle,null,
2022-12-12 07:45:16.527,ninth ,i,i,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.089000
2022-12-12 07:45:16.650,ninth ,n,n,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.123000
2022-12-12 07:45:16.881,ninth ,t,t,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.231000
2022-12-12 07:45:17.005,ninth ,h,h,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.124000
2022-12-12 07:45:17.249,ninth , , ,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.244000
2022-12-12 07:45:18.050,droop ,c,d,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.801000
2022-12-12 07:45:18.698,droop ,d,d,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.648000
2022-12-12 07:45:18.992,droop ,r,r,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.294000
2022-12-12 07:45:19.212,droop ,o,o,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.220000
2022-12-12 07:45:19.401,droop ,o,o,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.189000
2022-12-12 07:45:19.752,droop ,p,p,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.351000
2022-12-12 07:45:19.906,droop , , ,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.154000
2022-12-12 07:45:20.119,agile ,a,a,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.213000
2022-12-12 07:45:20.394,agile ,g,g,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.275000
2022-12-12 07:45:20.656,agile ,i,i,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.262000
2022-12-12 07:45:20.873,agile ,l,l,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.217000
2022-12-12 07:45:21.336,agile ,e,e,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.463000
2022-12-12 07:45:21.536,agile , , ,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.200000
2022-12-12 07:45:21.840,rocky ,r,r,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.304000
2022-12-12 07:45:22.042,rocky ,o,o,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.202000
2022-12-12 07:45:22.314,rocky ,c,c,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.272000
2022-12-12 07:45:23.114,rocky ,k,k,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.800000
2022-12-12 07:45:23.447,rocky ,y,y,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.333000
2022-12-12 07:45:23.626,rocky , , ,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.179000
2022-12-12 07:45:24.009,boxer ,b,b,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.383000
2022-12-12 07:45:24.154,boxer ,o,o,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.145000
2022-12-12 07:45:24.480,boxer ,x,x,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.326000
2022-12-12 07:45:24.698,boxer ,e,e,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.218000
2022-12-12 07:45:24.904,boxer ,r,r,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.206000
2022-12-12 07:45:25.072,boxer , , ,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.168000
2022-12-12 07:45:25.319,shift ,s,s,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.247000
2022-12-12 07:45:25.521,shift ,h,h,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.202000
2022-12-12 07:45:25.914,shift ,i,i,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.393000
2022-12-12 07:45:26.239,shift ,f,f,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.325000
2022-12-12 07:45:26.569,shift ,t,t,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.330000
2022-12-12 07:45:26.720,shift , , ,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.151000
2022-12-12 07:45:27.121,comfy ,c,c,semicolemakdh,1,words,10,wordle,null,0 days 00:00:00.401000
