,timestamp,activeWord,lastChar,correctChar,layout,testNum,type,length,language,funbox,cps
0,2022-12-12 07:45:16.438,ninth ,n,n,semicolemakdh,1,words,10,wordle,null,0.0
1,2022-12-12 07:45:16.527,ninth ,i,i,semicolemakdh,1,words,10,wordle,null,0.089
2,2022-12-12 07:45:16.650,ninth ,n,n,semicolemakdh,1,words,10,wordle,null,0.123
3,2022-12-12 07:45:16.881,ninth ,t,t,semicolemakdh,1,words,10,wordle,null,0.231
4,2022-12-12 07:45:17.005,ninth ,h,h,semicolemakdh,1,words,10,wordle,null,0.124
5,2022-12-12 07:45:17.249,ninth , , ,semicolemakdh,1,words,10,wordle,null,0.244
6,2022-12-12 07:45:18.050,droop ,c,d,semicolemakdh,1,words,10,wordle,null,0.801
7,2022-12-12 07:45:18.698,droop ,d,d,semicolemakdh,1,words,10,wordle,null,0.648
8,2022-12-12 07:45:18.992,droop ,r,r,semicolemakdh,1,words,10,wordle,null,0.294
9,2022-12-12 07:45:19.212,droop ,o,o,semicolemakdh,1,words,10,wordle,null,0.22
10,2022-12-12 07:45:19.401,droop ,o,o,semicolemakdh,1,words,10,wordle,null,0.189
11,2022-12-12 07:45:19.752,droop ,p,p,semicolemakdh,1,words,10,wordle,null,0.351
12,2022-12-12 07:45:19.906,droop , , ,semicolemakdh,1,words,10,wordle,null,0.154
13,2022-12-12 07:45:20.119,agile ,a,a,semicolemakdh,1,words,10,wordle,null,0.213
14,2022-12-12 07:45:20.394,agile ,g,g,semicolemakdh,1,words,10,wordle,null,0.275
15,2022-12-12 07:45:20.656,agile ,i,i,semicolemakdh,1,words,10,wordle,null,0.262
16,2022-12-12 07:45:20.873,agile ,l,l,semicolemakdh,1,words,10,wordle,null,0.217
17,2022-12-12 07:45:21.336,agile ,e,e,semicolemakdh,1,words,10,wordle,null,0.463
18,2022-12-12 07:45:21.536,agile , , ,semicolemakdh,1,words,10,wordle,null,0.2
19,2022-12-12 07:45:21.840,rocky ,r,r,semicolemakdh,1,words,10,wordle,null,0.304
20,2022-12-12 07:45:22.042,rocky ,o,o,semicolemakdh,1,words,10,wordle,null,0.202
21,2022-12-12 07:45:22.314,rocky ,c,c,semicolemakdh,1,words,10,wordle,null,0.272
22,2022-12-12 07:45:23.114,rocky ,k,k,semicolemakdh,1,words,10,wordle,null,0.8
23,2022-12-12 07:45:23.447,rocky ,y,y,semicolemakdh,1,words,10,wordle,null,0.333
24,2022-12-12 07:45:23.626,rocky , , ,semicolemakdh,1,words,10,wordle,null,0.179
25,2022-12-12 07:45:24.009,boxer ,b,b,semicolemakdh,1,words,10,wordle,null,0.383
26,2022-12-12 07:45:24.154,boxer ,o,o,semicolemakdh,1,words,10,wordle,null,0.145
27,2022-12-12 07:45:24.480,boxer ,x,x,semicolemakdh,1,words,10,wordle,null,0.326
28,2022-12-12 07:45:24.698,boxer ,e,e,semicolemakdh,1,words,10,wordle,null,0.218
29,2022-12-12 07:45:24.904,boxer ,r,r,semicolemakdh,1,words,10,wordle,null,0.206
30,2022-12-12 07:45:25.072,boxer , , ,semicolemakdh,1,words,10,wordle,null,0.168
31,2022-12-12 07:45:25.319,shift ,s,s,semicolemakdh,1,words,10,wordle,null,0.247
32,2022-12-12 07:45:25.521,shift ,h,h,semicolemakdh,1,words,10,wordle,null,0.202
33,2022-12-12 07:45:25.914,shift ,i,i,semicolemakdh,1,words,10,wordle,null,0.393
34,2022-12-12 07:45:26.239,shift ,f,f,semicolemakdh,1,words,10,wordle,null,0.325
35,2022-12-12 07:45:26.569,shift ,t,t,semicolemakdh,1,words,10,wordle,null,0.33
36,2022-12-12 07:45:26.720,shift , , ,semicolemakdh,1,words,10,wordle,null,0.151
37,2022-12-12 07:45:27.121,comfy ,c,c,semicolemakdh,1,words,10,wordle,null,0.401
38,2022-12-12 07:45:27.267,comfy ,o,o,semicolemakdh,1,words,10,wordle,null,0.146
39,2022-12-12 07:45:27.538,comfy ,m,m,semicolemakdh,1,words,10,wordle,null,0.271
40,2022-12-12 07:45:28.466,comfy ,f,f,semicolemakdh,1,words,10,wordle,null,0.928
41,2022-12-12 07:45:29.039,comfy ,y,y,semicolemakdh,1,words,10,wordle,null,0.573
42,2022-12-12 07:45:29.322,comfy , , ,semicolemakdh,1,words,10,wordle,null,0.283
43,2022-12-12 07:45:29.721,drool ,d,d,semicolemakdh,1,words,10,wordle,null,0.399
44,2022-12-12 07:45:30.074,drool ,r,r,semicolemakdh,1,words,10,wordle,null,0.353
45,2022-12-12 07:45:30.273,drool ,o,o,semicolemakdh,1,words,10,wordle,null,0.199
46,2022-12-12 07:45:30.473,drool ,o,o,semicolemakdh,1,words,10,wordle,null,0.2
47,2022-12-12 07:45:30.650,drool ,l,l,semicolemakdh,1,words,10,wordle,null,0.177
48,2022-12-12 07:45:30.804,drool , , ,semicolemakdh,1,words,10,wordle,null,0.154
49,2022-12-12 07:45:31.065,space ,s,s,semicolemakdh,1,words,10,wordle,null,0.261
50,2022-12-12 07:45:31.404,space ,p,p,semicolemakdh,1,words,10,wordle,null,0.339
51,2022-12-12 07:45:31.557,space ,a,a,semicolemakdh,1,words,10,wordle,null,0.153
52,2022-12-12 07:45:31.728,space ,c,c,semicolemakdh,1,words,10,wordle,null,0.171
53,2022-12-12 07:45:31.976,space ,e,e,semicolemakdh,1,words,10,wordle,null,0.248
54,2022-12-12 07:45:32.373,space , , ,semicolemakdh,1,words,10,wordle,null,0.397
55,2022-12-12 07:45:33.053,jumbo,j,j,semicolemakdh,1,words,10,wordle,null,0.68
56,2022-12-12 07:45:33.248,jumbo,u,u,semicolemakdh,1,words,10,wordle,null,0.195
57,2022-12-12 07:45:33.544,jumbo,m,m,semicolemakdh,1,words,10,wordle,null,0.296
58,2022-12-12 07:45:34.182,jumbo,b,b,semicolemakdh,1,words,10,wordle,null,0.638
59,2022-12-12 07:45:34.209,jumbo,o,o,semicolemakdh,1,words,10,wordle,null,0.027
60,2022-12-12 07:45:47.348,rearm ,r,r,semicolemakdh,2,words,10,wordle,null,13.139
61,2022-12-12 07:45:47.488,rearm ,e,e,semicolemakdh,2,words,10,wordle,null,0.14
62,2022-12-12 07:45:47.641,rearm ,a,a,semicolemakdh,2,words,10,wordle,null,0.153
63,2022-12-12 07:45:47.918,rearm ,r,r,semicolemakdh,2,words,10,wordle,null,0.277
64,2022-12-12 07:45:48.402,rearm ,m,m,semicolemakdh,2,words,10,wordle,null,0.484
65,2022-12-12 07:45:48.619,rearm , , ,semicolemakdh,2,words,10,wordle,null,0.217
66,2022-12-12 07:45:48.762,smash ,s,s,semicolemakdh,2,words,10,wordle,null,0.143
67,2022-12-12 07:45:49.169,smash ,m,m,semicolemakdh,2,words,10,wordle,null,0.407
68,2022-12-12 07:45:49.484,smash ,a,a,semicolemakdh,2,words,10,wordle,null,0.315
69,2022-12-12 07:45:49.777,smash ,s,s,semicolemakdh,2,words,10,wordle,null,0.293
70,2022-12-12 07:45:50.070,smash ,h,h,semicolemakdh,2,words,10,wordle,null,0.293
71,2022-12-12 07:45:50.224,smash , , ,semicolemakdh,2,words,10,wordle,null,0.154
72,2022-12-12 07:45:50.512,horde ,h,h,semicolemakdh,2,words,10,wordle,null,0.288
73,2022-12-12 07:45:50.636,horde ,o,o,semicolemakdh,2,words,10,wordle,null,0.124
74,2022-12-12 07:45:51.242,horde ,r,r,semicolemakdh,2,words,10,wordle,null,0.606
75,2022-12-12 07:45:51.441,horde ,d,d,semicolemakdh,2,words,10,wordle,null,0.199
76,2022-12-12 07:45:51.804,horde ,e,e,semicolemakdh,2,words,10,wordle,null,0.363
77,2022-12-12 07:45:52.006,horde , , ,semicolemakdh,2,words,10,wordle,null,0.202
78,2022-12-12 07:45:52.371,groom ,g,g,semicolemakdh,2,words,10,wordle,null,0.365
79,2022-12-12 07:45:52.577,groom ,r,r,semicolemakdh,2,words,10,wordle,null,0.206
80,2022-12-12 07:45:52.841,groom ,o,o,semicolemakdh,2,words,10,wordle,null,0.264
81,2022-12-12 07:45:53.019,groom ,o,o,semicolemakdh,2,words,10,wordle,null,0.178
82,2022-12-12 07:45:53.192,groom ,m,m,semicolemakdh,2,words,10,wordle,null,0.173
83,2022-12-12 07:45:53.330,groom , , ,semicolemakdh,2,words,10,wordle,null,0.138
84,2022-12-12 07:45:53.473,swath ,s,s,semicolemakdh,2,words,10,wordle,null,0.143
85,2022-12-12 07:45:53.824,swath ,w,w,semicolemakdh,2,words,10,wordle,null,0.351
86,2022-12-12 07:45:54.122,swath ,a,a,semicolemakdh,2,words,10,wordle,null,0.298
87,2022-12-12 07:45:54.419,swath ,t,t,semicolemakdh,2,words,10,wordle,null,0.297
88,2022-12-12 07:45:54.522,swath ,h,h,semicolemakdh,2,words,10,wordle,null,0.103
89,2022-12-12 07:45:54.658,swath , , ,semicolemakdh,2,words,10,wordle,null,0.136
90,2022-12-12 07:45:55.316,junto ,j,j,semicolemakdh,2,words,10,wordle,null,0.658
91,2022-12-12 07:45:55.523,junto ,u,u,semicolemakdh,2,words,10,wordle,null,0.207
92,2022-12-12 07:45:55.912,junto ,n,n,semicolemakdh,2,words,10,wordle,null,0.389
93,2022-12-12 07:45:56.074,junto ,t,t,semicolemakdh,2,words,10,wordle,null,0.162
94,2022-12-12 07:45:56.187,junto ,o,o,semicolemakdh,2,words,10,wordle,null,0.113
95,2022-12-12 07:45:56.339,junto , , ,semicolemakdh,2,words,10,wordle,null,0.152
96,2022-12-12 07:45:56.713,young ,y,y,semicolemakdh,2,words,10,wordle,null,0.374
97,2022-12-12 07:45:56.991,young ,o,o,semicolemakdh,2,words,10,wordle,null,0.278
98,2022-12-12 07:45:57.226,young ,u,u,semicolemakdh,2,words,10,wordle,null,0.235
99,2022-12-12 07:45:57.555,young ,n,n,semicolemakdh,2,words,10,wordle,null,0.329
100,2022-12-12 07:45:57.776,young ,g,g,semicolemakdh,2,words,10,wordle,null,0.221
101,2022-12-12 07:45:57.924,young , , ,semicolemakdh,2,words,10,wordle,null,0.148
102,2022-12-12 07:45:58.418,space ,s,s,semicolemakdh,2,words,10,wordle,null,0.494
103,2022-12-12 07:45:58.756,space ,p,p,semicolemakdh,2,words,10,wordle,null,0.338
104,2022-12-12 07:45:58.907,space ,a,a,semicolemakdh,2,words,10,wordle,null,0.151
105,2022-12-12 07:45:59.229,space ,c,c,semicolemakdh,2,words,10,wordle,null,0.322
106,2022-12-12 07:45:59.332,space ,e,e,semicolemakdh,2,words,10,wordle,null,0.103
107,2022-12-12 07:45:59.508,space , , ,semicolemakdh,2,words,10,wordle,null,0.176
108,2022-12-12 07:45:59.740,wider ,w,w,semicolemakdh,2,words,10,wordle,null,0.232
109,2022-12-12 07:45:59.924,wider ,i,i,semicolemakdh,2,words,10,wordle,null,0.184
110,2022-12-12 07:46:00.250,wider ,d,d,semicolemakdh,2,words,10,wordle,null,0.326
111,2022-12-12 07:46:00.410,wider ,e,e,semicolemakdh,2,words,10,wordle,null,0.16
112,2022-12-12 07:46:00.571,wider ,r,r,semicolemakdh,2,words,10,wordle,null,0.161
113,2022-12-12 07:46:00.783,wider , , ,semicolemakdh,2,words,10,wordle,null,0.212
114,2022-12-12 07:46:01.025,wager,w,w,semicolemakdh,2,words,10,wordle,null,0.242
115,2022-12-12 07:46:01.178,wager,a,a,semicolemakdh,2,words,10,wordle,null,0.153
116,2022-12-12 07:46:01.395,wager,g,g,semicolemakdh,2,words,10,wordle,null,0.217
117,2022-12-12 07:46:01.546,wager,e,e,semicolemakdh,2,words,10,wordle,null,0.151
118,2022-12-12 07:46:01.883,wager,r,r,semicolemakdh,2,words,10,wordle,null,0.337
119,2022-12-12 07:46:13.411,maple ,m,m,semicolemakdh,3,words,10,wordle,null,11.528
120,2022-12-12 07:46:13.538,maple ,a,a,semicolemakdh,3,words,10,wordle,null,0.127
121,2022-12-12 07:46:13.778,maple ,p,p,semicolemakdh,3,words,10,wordle,null,0.24
122,2022-12-12 07:46:14.033,maple ,l,l,semicolemakdh,3,words,10,wordle,null,0.255
123,2022-12-12 07:46:14.218,maple ,e,e,semicolemakdh,3,words,10,wordle,null,0.185
